Order,PID,MS SubClass,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Kitchen_Qual_Ord,Price_Per_SqFt,Total_Bathrooms,Qual_x_Area,Log_SalePrice,House_Age,Age_Group
382,527359050,20,80.0,0.03380992013227829,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,189.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,1090.0,1090.0,GasA,TA,Y,SBrkr,1370,0,0,0.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2.0,479.0,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,6,2009,wd,family,152000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.0,2.0,-1.7046521224219964,11.931642378754141,33,Old (21-50yr)
835,906475070,60,,2.307081966861277,Pave,,IR2,Low,AllPub,CulDSac,Sev,Norm,Norm,1Fam,2Story,5,5,1967,Flat,Tar&Grv,Plywood,Plywood,,0.0,TA,TA,PConc,TA,Gd,Gd,LwQ,249.0,ALQ,764.0,0.0,1013.0,GasA,TA,Y,SBrkr,1160,966,0,0.0,1.0,2,1,3,1,TA,7,Min2,0,,Attchd,1967.0,Fin,2.0,538.0,TA,TA,Y,486,0,0,0,225,0,,,,0,6,2009,wd,abnorml,185000.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,147415.5344788968,3.0,6.27477967820561,12.128116509451258,42,Old (21-50yr)
1899,534429030,90,70.0,-0.0355138202805964,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Norm,Norm,Duplex,1Story,4,5,1962,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1224,0,0,0.0,0.0,2,0,2,2,TA,6,Typ,0,,CarPort,1962.0,Unf,2.0,462.0,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2007,wd,normal,101800.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2.0,-2.1316411040437395,11.530775206233024,45,Old (21-50yr)
679,535451170,90,60.0,-0.3637455804433472,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,4,5,1950,Gable,CompShg,BrkFace,Stone,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,Wall,Fa,N,FuseF,1040,0,0,0.0,0.0,2,0,2,2,TA,6,Typ,0,,Detchd,1956.0,Unf,2.0,420.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2009,wd,normal,90000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2.0,-3.590476505125684,11.407576060361786,60,Vintage (50+yr)
701,902109130,190,63.0,-0.3106967683352872,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Artery,Norm,2fmCon,2Story,4,6,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,Fa,TA,BrkTil,Fa,Po,No,Unf,0.0,Unf,0.0,600.0,600.0,GasA,Gd,N,SBrkr,1101,600,0,0.0,0.0,2,0,4,2,Fa,8,Typ,0,,,,,0.0,0.0,,,N,0,0,148,0,0,0,,,,0,10,2009,wd,normal,94550.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,229180.02153661463,2.0,1.6502311041958664,11.45689465044527,89,Vintage (50+yr)
2074,905352180,60,97.0,-0.012281670715708286,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,6,5,1989,Gable,CompShg,Plywood,Plywood,BrkFace,268.0,Gd,TA,PConc,Gd,TA,No,GLQ,831.0,Unf,0.0,320.0,1151.0,GasA,TA,Y,SBrkr,1164,896,0,0.0,1.0,2,1,4,1,TA,8,Typ,1,TA,Attchd,1988.0,Unf,2.0,521.0,TA,TA,Y,0,228,0,0,192,0,,,,0,9,2007,wd,normal,211000.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,187699.63266910438,3.0,6.744818740438513,12.259618151783465,19,Recent (6-20yr)
2444,528315070,60,84.0,-0.0581247893758351,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,242.0,Gd,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,0.0,253.0,1044.0,GasA,Ex,Y,SBrkr,1079,897,0,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Ex,Attchd,1998.0,Fin,3.0,885.0,TA,TA,Y,210,31,0,0,0,0,,,,0,2,2006,wd,normal,286000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,298651.1811602878,3.5,7.661111505104067,12.563750586299374,8,Recent (6-20yr)
2584,535303050,20,75.0,0.1468647656084718,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1954,Hip,CompShg,Wd Sdng,BrkFace,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1367.0,1367.0,GasA,Ex,Y,SBrkr,1375,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1954.0,Unf,2.0,451.0,TA,TA,Y,0,30,0,0,0,0,,,,0,6,2006,wd,normal,140000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.0,-1.401666991146803,11.849404844423074,52,Vintage (50+yr)
1916,535126180,60,,1.0339104762678362,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,5,1979,Flat,Tar&Grv,Plywood,Plywood,BrkCmn,113.0,TA,Gd,CBlock,Gd,TA,No,LwQ,187.0,Rec,723.0,111.0,1021.0,GasA,TA,Y,SBrkr,1465,915,0,0.0,0.0,2,1,3,1,TA,7,Sev,1,Po,CarPort,1965.0,Unf,2.0,596.0,TA,TA,Y,0,265,0,0,0,0,,,,0,8,2007,wd,abnorml,129000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,73361.6167999935,2.5,10.550476308478366,11.767575435251748,42,Old (21-50yr)
880,907410130,20,85.0,0.008962701346301703,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1478.0,Unf,0.0,100.0,1578.0,GasA,Ex,Y,SBrkr,1602,0,0,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,810.0,TA,TA,Y,0,48,0,0,195,0,,,,0,1,2009,wd,normal,293200.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1355345.7903176595,3.0,1.7306284615752925,12.588613659630019,2,New (0-5yr)
